ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
05.02.2018	17:12:03	20609318,04	214154024539081565000000000,00	46671102,42	41082757,55	137,34	1223,81
05.02.2018	17:12:04	10427816,90	18796584854000059800000000,00	3089912,25	376427,15	49,63	183,74
05.02.2018	17:12:05	5591185,05	2709522383825851180000000,00	410115,21	21638,64	23,82	50,08
05.02.2018	17:12:06	3145225,86	740228810577623716000000,00	79811,77	3175,98	14,16	21,11
05.02.2018	17:12:07	1066097941,14	876570744062316469000000,00	79811,77	869,87	39,10	21,11
05.02.2018	17:12:07	1066097941,14	876570744062316469000000,00	79811,77	869,87	39,09	21,11
05.02.2018	17:12:08	1066097941,14	876570744062316469000000,00	79799,35	869,70	39,09	21,11
05.02.2018	17:12:09	1066097941,14	1043124112528739980000000,00	79786,94	869,76	39,09	21,11
05.02.2018	17:12:10	1065423790,86	1043124112528739980000000,00	79786,94	869,76	39,09	21,11
05.02.2018	17:12:11	1065423790,86	1043124112528739980000000,00	79799,35	869,82	39,09	21,11
05.02.2018	17:12:12	1065423790,86	876570744062316469000000,00	79811,77	869,87	39,09	21,11
05.02.2018	17:12:12	1065423790,86	876570744062316469000000,00	79786,94	869,87	39,09	21,11
05.02.2018	17:12:13	1065423790,86	740228810577623716000000,00	79799,35	870,04	39,09	21,11
05.02.2018	17:12:14	1065423790,86	627995303060445315000000,00	79799,35	870,04	39,09	21,11
05.02.2018	17:12:15	1065423790,86	627995303060445315000000,00	79774,53	870,04	39,09	21,12
05.02.2018	17:12:16	1065423790,86	627995303060445315000000,00	79774,53	870,21	39,09	21,11
05.02.2018	17:12:17	1065423790,86	627995303060445315000000,00	79774,53	870,21	39,09	21,11
05.02.2018	17:12:17	1065423790,86	740228810577623716000000,00	79799,35	869,99	39,09	21,11
