ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
13.10.2018	13:13:43	1052043202.55	1582348.45	80160.23	868.57	39.15	21.14
13.10.2018	13:13:43	1052707624.15	1582348.45	80172.71	868.57	39.15	21.14
13.10.2018	13:13:43	1052707624.15	1581948.05	80160.23	869.48	39.15	21.14
13.10.2018	13:13:43	1052707624.15	1581948.05	80160.23	868.57	39.15	21.14
13.10.2018	13:13:43	1053372528.39	1581948.05	80160.23	868.57	39.16	21.14
13.10.2018	13:13:46	23953307039793748.00	62750665865011.81	5030789332118.04	868.57	878132104.49	33029375.54
13.10.2018	13:13:47	366991615532933.00	925139371549.92	72582342849.39	63704115336.94	9884293.27	447180.13
13.10.2018	13:13:49	31489129838706.34	76610908054.37	5871988942.62	838316383.74	632006.47	46347.07
13.10.2018	13:13:51	5486055415744.47	12892986437.14	962608628.18	61892658.00	84598.71	11023.11
13.10.2018	13:13:52	1411374395746.20	3191653482.45	232101162.35	9273167.50	17780.92	3851.76
13.10.2018	13:13:54	462951885968.40	1009232260.41	71397736.63	2059915.31	5211.29	1655.10
