ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
05.02.2018	17:10:57	1071508840,91	193989249824833621000000,00	79873,87	870,21	39,09	21,11
05.02.2018	17:10:58	1070830754,06	193989249824833621000000,00	79873,87	870,21	39,09	21,11
05.02.2018	17:10:59	1070830754,06	254841710542199041000000,00	79886,29	870,21	39,09	21,10
05.02.2018	17:11:00	1071508840,91	193989249824833621000000,00	79960,90	870,67	39,09	21,10
05.02.2018	17:11:00	1071508840,91	170016670397915332000000,00	80023,13	870,61	39,09	21,11
05.02.2018	17:11:01	1071508840,91	193989249824833621000000,00	79948,46	870,16	39,09	21,11
05.02.2018	17:11:02	1071508840,91	221998958359789498000000,00	79886,29	870,61	39,10	21,11
05.02.2018	17:11:03	1071508840,91	193989249824833621000000,00	79898,72	870,61	39,11	21,11
05.02.2018	17:11:04	1072187421,65	193989249824833621000000,00	79898,72	870,16	39,10	21,11
05.02.2018	17:11:05	1072187421,65	193989249824833621000000,00	79960,90	870,16	39,09	21,11
05.02.2018	17:11:05	1072187421,65	170016670397915332000000,00	80023,13	870,61	39,09	21,12
05.02.2018	17:11:06	1071508840,91	193989249824833621000000,00	80023,13	870,67	39,09	21,11
05.02.2018	17:11:07	1072187421,65	193989249824833621000000,00	79948,46	870,21	39,09	21,11
05.02.2018	17:11:08	1072187421,65	193989249824833621000000,00	79948,46	870,61	39,09	21,11
05.02.2018	17:11:09	1072187421,65	254841710542199041000000,00	79948,46	870,67	39,10	21,11
05.02.2018	17:11:10	1072187421,65	221998958359789498000000,00	79873,87	870,27	39,11	21,11
05.02.2018	17:11:11	1072187421,65	170016670397915332000000,00	79873,87	870,21	39,10	21,11
05.02.2018	17:11:11	1072187421,65	170016670397915332000000,00	79873,87	870,73	39,09	21,11
05.02.2018	17:11:12	1070830754,06	193989249824833621000000,00	79873,87	870,78	39,09	21,11
05.02.2018	17:11:13	1070830754,06	254841710542199041000000,00	79873,87	870,39	39,09	21,11
