ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
05.02.2018	16:51:09	1059378451,08	1500852850908934980000000,00	79737,31	867,66	39,03	21,14
05.02.2018	16:51:09	1058709185,15	1815858779667030470000000,00	79427,93	871,86	39,03	21,10
05.02.2018	16:51:09	1060718443,22	2709522383825851180000000,00	79576,26	872,89	39,15	21,14
05.02.2018	16:51:09	1064076960,63	876570744062316469000000,00	80072,96	868,63	39,11	21,15
05.02.2018	16:51:09	1062732088,16	740228810577623716000000,00	79960,90	868,17	39,09	21,07
05.02.2018	16:51:09	1056704303,14	18796584854000059800000000,00	79526,78	870,10	39,21	21,07
05.02.2018	16:51:09	1062732088,16	141557424413430561000000000,00	79625,78	868,45	39,20	21,15
05.02.2018	16:51:09	1062060385,08	18796584854000059800000000,00	79786,94	868,11	39,04	21,14
05.02.2018	16:51:09	1054037915,67	47402629337757360200000000,00	79427,93	872,09	39,04	21,10
05.02.2018	16:51:09	1056036979,73	34269013977816500500000000,00	79464,98	872,43	39,15	21,14
05.02.2018	16:51:09	1060718443,22	1247785964875017400000000,00	80010,68	868,74	39,10	21,14
05.02.2018	16:51:09	1064076960,63	4160319100793679440000000,00	79960,90	868,97	39,07	21,06
05.02.2018	16:51:09	1061389170,23	1612692052262690170000000000,00	79588,64	870,33	39,19	21,06
05.02.2018	16:51:09	1058040405,45	14218192335029607100000000,00	79762,12	868,06	39,19	21,14
05.02.2018	16:51:09	1058040405,45	3344620066834900650000000,00	79948,46	868,45	39,03	21,14
05.02.2018	16:51:09	1057372111,58	141557424413430561000000000,00	79514,42	872,78	39,03	21,11
05.02.2018	16:51:09	1058709185,15	5217751461268953500000000,00	79341,54	872,15	39,15	21,14
05.02.2018	16:51:09	1058040405,45	740228810577623716000000,00	79886,29	867,83	39,10	21,14
05.02.2018	16:51:09	1060718443,22	1815858779667030470000000,00	79960,90	868,34	39,08	21,06
05.02.2018	16:51:09	1061389170,23	1247785964875017400000000,00	79675,33	870,61	39,20	21,06
05.02.2018	16:51:09	1061389170,23	2709522383825851180000000,00	79911,15	869,08	39,21	21,14
05.02.2018	16:51:09	1060718443,22	47402629337757360200000000,00	79960,90	868,40	39,04	21,13
05.02.2018	16:51:09	1060048203,64	25190047836006619500000000,00	79477,34	872,09	39,03	21,10
05.02.2018	16:51:09	1066097941,14	8434989043335563420000000,00	79390,89	871,98	39,14	21,15
05.02.2018	16:51:09	1060048203,64	4160319100793679440000000,00	79936,02	868,17	39,09	21,15
05.02.2018	16:51:09	1058040405,45	5217751461268953500000000,00	79948,46	869,42	39,07	21,07
05.02.2018	16:51:09	1059378451,08	2210746537893236450000000,00	79588,64	870,39	39,20	21,07
05.02.2018	16:51:09	1058040405,45	535119665175177297000000,00	79786,94	867,49	39,22	21,14
05.02.2018	16:51:09	1058040405,45	2210746537893236450000000,00	79849,02	867,72	39,06	21,12
05.02.2018	16:51:09	1058709185,15	6602336765518309630000000,00	79489,70	871,92	39,06	21,10
05.02.2018	16:51:09	1060048203,64	876570744062316469000000,00	79563,89	871,98	39,14	21,15
05.02.2018	16:51:09	1057372111,58	457878867157079221000000,00	80035,59	868,63	39,09	21,15
05.02.2018	16:51:09	1060718443,22	1043124112528739980000000,00	79936,02	869,42	39,08	21,06
05.02.2018	16:51:09	1062060385,08	2210746537893236450000000,00	79675,33	870,67	39,20	21,06
05.02.2018	16:51:09	1058040405,45	876570744062316469000000,00	79861,44	868,00	39,22	21,14
05.02.2018	16:51:09	1058709185,15	339161543597775213000000,00	79898,72	868,00	39,06	21,12
05.02.2018	16:51:09	1061389170,23	170016670397915332000000,00	79403,23	872,78	39,04	21,09
05.02.2018	16:51:09	1059378451,08	116364167830643166000000,00	79316,87	872,55	39,13	21,15
05.02.2018	16:51:09	1060718443,22	457878867157079221000000,00	79936,02	869,02	39,07	21,15
