ДАТАВРЕМЯ		Сер. сол,К	Кон. сол,К	Шина,К	Спаи 1,К	Пер,К	Спаи 2,К
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:34	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:35	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.95	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:36	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:37	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.12	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:38	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:39	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:40	7.94	9.13	15.42	13.79	14.11	19.62
06.11.2019	11:34:40	7.94	9.13	15.42	13.79	14.11	19.62
