DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
02.02.2018	13:27:17	132,062	358,714	633,561	1083,037	1956,638	2572,334	3370,068	4111,841	10036,7	27262,3	48150,6	82310,8	148704,5	195497,4	256125,2	312499,9
02.02.2018	13:27:36	132,113	358,830	633,697	1083,329	1957,134	2572,971	3370,905	5305,417	10040,6	27271,1	48161,0	82333,0	148742,2	195545,8	256188,8	403211,7
02.02.2018	13:27:54	126,742	272,583	563,599	1255,507	2468,221	4169,384	6987,084	7350,933	9632,4	20716,3	42833,5	95418,5	187584,8	316873,2	531018,4	558670,9
02.02.2018	13:28:13	131,614	289,370	617,622	1312,954	2892,787	5115,086	8223,682	8223,682	10002,7	21992,1	46939,3	99784,5	219851,8	388746,5	624999,8	624999,8
02.02.2018	13:28:31	131,632	289,412	617,717	1313,282	2893,172	5115,876	9001,999	16447,363	10004,0	21995,3	46946,5	99809,4	219881,1	388806,6	684151,9	1249999,6
02.02.2018	13:28:49	131,629	289,409	617,728	1313,129	2893,166	5115,874	9001,811	16447,363	10003,8	21995,1	46947,3	99797,8	219880,6	388806,4	684137,6	1249999,6
02.02.2018	13:29:07	131,633	289,408	617,721	1313,204	2893,214	5115,868	9001,778	16447,363	10004,1	21995,0	46946,8	99803,5	219884,3	388806,0	684135,1	1249999,6
02.02.2018	13:29:25	131,632	289,413	617,733	1313,220	2893,217	5115,901	9001,874	16447,363	10004,0	21995,4	46947,7	99804,7	219884,5	388808,5	684142,4	1249999,6
02.02.2018	13:29:43	131,629	289,408	617,724	1313,117	2893,199	5115,858	9001,834	16447,363	10003,8	21995,0	46947,0	99796,9	219883,1	388805,2	684139,4	1249999,6
02.02.2018	13:30:02	131,629	289,416	617,734	1313,180	2893,203	5115,888	9001,689	16447,363	10003,8	21995,6	46947,8	99801,7	219883,4	388807,5	684128,4	1249999,6
02.02.2018	13:30:21	111,867	245,975	524,999	1116,071	2458,887	4347,899	6990,129	6990,129	8501,9	18694,1	39899,9	84821,4	186875,4	330440,3	531249,8	531249,8
02.02.2018	13:30:39	131,613	289,378	617,634	1312,946	2892,853	5115,146	8223,682	8223,682	10002,6	21992,7	46940,2	99783,9	219856,8	388751,1	624999,8	624999,8
