DATE	TIME	B1	B2	B3	B4	B5	B6	B7	B8	U1	U2	U3	U4	U5	U6	U7	U8
23.01.2018	9:36:47	-145,361	-513,503	-0,343	-6,830	3,428	-0,743	-7,943	-18,761	-11047,4	-39026,2	-26,1	-519,1	260,5	-56,5	-603,7	-1425,8
23.01.2018	9:36:50	-145,366	-513,482	-2,891	-5,967	3,279	-0,830	-7,697	-18,930	-11047,8	-39024,6	-219,7	-453,5	249,2	-63,1	-585,0	-1438,7
23.01.2018	9:36:53	-145,366	-513,480	-2,309	-8,674	3,179	-0,784	-7,737	-18,776	-11047,8	-39024,5	-175,5	-659,2	241,6	-59,6	-588,0	-1427,0
23.01.2018	9:36:56	-145,366	-513,480	-2,309	-8,674	3,179	-0,784	-7,737	-18,776	-11047,8	-39024,5	-175,5	-659,2	241,6	-59,6	-588,0	-1427,0
23.01.2018	9:36:59	-145,361	-513,499	1,541	-8,483	3,279	-0,841	-7,597	-18,826	-11047,4	-39025,9	117,1	-644,7	249,2	-63,9	-577,4	-1430,8
23.01.2018	9:37:02	-145,366	-513,497	4,049	-8,217	3,207	-0,822	-7,597	-18,851	-11047,8	-39025,8	307,7	-624,5	243,7	-62,5	-577,4	-1432,7
23.01.2018	9:37:05	-145,364	-513,499	2,920	-6,901	3,283	-0,780	-7,525	-18,907	-11047,7	-39025,9	221,9	-524,5	249,5	-59,3	-571,9	-1436,9
23.01.2018	9:37:09	-145,366	-513,480	-3,237	-6,913	3,200	-0,741	-7,682	-18,801	-11047,8	-39024,5	-246,0	-525,4	243,2	-56,3	-583,8	-1428,9
23.01.2018	9:37:12	-145,359	-513,479	-4,129	-6,879	3,362	-0,775	-7,645	-18,801	-11047,3	-39024,4	-313,8	-522,8	255,5	-58,9	-581,0	-1428,9
23.01.2018	9:37:15	-145,366	-513,500	-0,996	-8,926	3,114	-0,882	-7,645	-18,795	-11047,8	-39026,0	-75,7	-678,4	236,7	-67,0	-581,0	-1428,4
