10.07.2017 12.17.32
============================================
Z    Bx   By   Bz   Dz   
============================================
1 +0025.0 +0244.0 -0060.5 2
2 +0024.0 +0244.0 -0060.0 3
3 +0024.5 +0245.0 -0060.0 4
4 +0026.0 +0244.5 -0060.5 5
5 +0025.5 +0244.0 -0061.0 6
6 +0023.0 +0244.0 -0060.0 7
7 +0024.0 +0244.5 -0060.0 8
8 +0025.0 +0245.0 -0062.0 9
9 +0026.0 +0244.0 -0061.5 10
10 +0031.5 +0179.5 -0061.0 11
11 +0031.5 +0179.5 -0061.0 12
12 +0031.0 +0081.5 -0029.0 13
13 +0026.0 +0051.0 -0021.0 14
14 +0026.0 +0051.0 -0021.0 15
15 +0027.0 +0052.0 -0021.0 16
